Headline,URL,Date,Location
Canadian researchers return from WHO forum with plan to tackle coronavirus,https://globalnews.ca/news/6545681/coronavirus-canadian-researchers-geneva/,"February 13, 2020 7:34 am",CANADA
"Former Shanghai mayor chosen to replace leader of China’s COVID-19 epicentre, reports say",https://globalnews.ca/news/6545309/china-shanghai-hubei-replaced/,"February 12, 2020 11:53 pm",HEALTH
"250M children live in countries affected by conflict, UN chief says",https://globalnews.ca/news/6545176/children-conflict-countries-united-nations/,"February 12, 2020 11:01 pm",WORLD
U.S. airlines extend China flight cancellations into late April over COVID-19,https://globalnews.ca/news/6544686/us-airlines-china-flight-cancellations/,"February 12, 2020 8:41 pm",WORLD
"COVID-19: China reports over 14,800 new cases, 242 deaths in highest single-day jump",https://globalnews.ca/news/6544259/covid-19-coronavirus-china-cases/,"February 12, 2020 4:28 pm",HEALTH
Man charged in El Paso shooting that left 22 dead appears in U.S. federal court,https://globalnews.ca/news/6543959/el-paso-walmart-shooting-court-appearance/,"February 12, 2020 3:57 pm",WORLD
Iowa’s Democratic Party chairman resigns in wake of caucus voting disaster,https://globalnews.ca/news/6543975/iowa-democratic-chairman-resigns/,"February 12, 2020 4:27 pm",POLITICS
U.S. Attorney General William Barr to testify over Roger Stone’s lowered sentence,https://globalnews.ca/news/6543805/william-barr-roger-stone-testify/,"February 12, 2020 4:00 pm",POLITICS
Airplane 2.0? Airbus unveils ‘MAVERIC’ plane design after secret tests,https://globalnews.ca/news/6542159/airbus-maveric-blended-wing-plane/,"February 12, 2020 3:59 pm",TRENDING
Wet’suwet’en solidarity protests: How Canadian law protects demonstrators,https://globalnews.ca/news/6540883/wetsuweten-protest-laws/,"February 12, 2020 2:13 pm",WORLD
What precautions are Asia’s cruise ships taking? And other COVID-19 questions answered,https://globalnews.ca/news/6542581/virus-asia-cruise-ships-quarantine/,"February 12, 2020 3:06 pm",HEALTH
"Sharp rise in white supremacist propaganda worldwide in 2018-19, says anti-bias group",https://globalnews.ca/news/6542602/white-supremacist-propaganda-increase/,"February 12, 2020 3:03 pm",WORLD
New cases of coronavirus in China may be falling: a look at latest outbreak developments,https://globalnews.ca/news/6542512/china-coronavirus-cases/,"February 12, 2020 2:37 pm",WORLD
Guinness World Record names Japanese 112-year-old oldest man alive,https://globalnews.ca/news/6541502/oldest-man-alive-japan/,"February 12, 2020 1:27 pm",TRENDING
Singapore clears bank office after staff member develops coronavirus,https://globalnews.ca/news/6541964/singapore-bank-coronavirus/,"February 12, 2020 12:03 pm",WORLD
International diplomats visit Kashmir to assess situation following shutdown,https://globalnews.ca/news/6541397/kashmir-india-international-diplomats/,"February 12, 2020 10:45 am",WORLD
Trump says COVID-19 will go away in April. Experts say it’s too soon to tell,https://globalnews.ca/news/6535483/coronavirus-seasonal-virus-experts/,"February 12, 2020 10:19 am",HEALTH
