Headline,URL,Date,Location
"World facing ‘chronic shortage’ of masks, gloves amid coronavirus fears: WHO",https://globalnews.ca/news/6520188/shortage-masks-gloves-coronavirus-who/,"February 7, 2020 7:57 am",WORLD
Democratic presidential hopefuls prepare for crucial New Hampshire debate,https://globalnews.ca/news/6520130/new-hampshire-democratic-debate/,"February 7, 2020 7:33 am",POLITICS
"Heavy rain, floods hit Australia’s wildfire-ravaged east coast",https://globalnews.ca/news/6520104/australia-wildfires-rain-flooding/,"February 7, 2020 7:22 am",WORLD
Coronavirus: China investigating doctor’s death as cruise ships stay locked down,https://globalnews.ca/news/6520080/coronavirus-cruise-ships-doctor-death/,"February 7, 2020 7:10 am",WORLD
‘Fresh Canadian air’: Canadians evacuated from Wuhan arrive in Ontario,https://globalnews.ca/news/6517548/176-canadians-wuhan-bc/,"February 7, 2020 12:00 am",CANADA
5 Canadians among 41 new cases of coronavirus on cruise ship docked in Japan,https://globalnews.ca/news/6519457/coronavirus-japan-cruise-ship-canadians-new/,"February 6, 2020 11:35 pm",CANADA
"Trudeau to be first Canadian PM to attend African Union, but can he reset relations?",https://globalnews.ca/news/6519354/trudeau-african-union-relations/,"February 6, 2020 10:55 pm",WORLD
Japan finds 41 new cases of coronavirus on cruise ship as China death toll rises to 636,https://globalnews.ca/news/6518941/coronavirus-cruise-ship-china/,"February 6, 2020 8:40 pm",CHINA VIRUS
Man accused of killing 22 at El Paso Walmart facing federal hate crimes charges,https://globalnews.ca/news/6518542/patrick-crusius-el-paso-shooting/,"February 6, 2020 7:00 pm",WORLD
"Key al-Qaeda figure killed in U.S. counter-terrorism operation, Trump says",https://globalnews.ca/news/6518370/al-qaeda-founder-killed/,"February 6, 2020 3:33 pm",WORLD
"Prosecutors rest case in Harvey Weinstein rape trial, defence to call witnesses",https://globalnews.ca/news/6517464/prosecutors-rest-harvey-weinstein/,"February 6, 2020 4:27 pm",CRIME
Children may be less affected by coronavirus: report,https://globalnews.ca/news/6514903/children-risk-coronavirus/,"February 6, 2020 2:03 pm",HEALTH
Virtual tie reported in Iowa caucus as DNC chair calls for review of results,https://globalnews.ca/news/6516061/iowa-caucus-results-recanvass/,"February 6, 2020 1:10 pm",POLITICS
Indigenous leaders say pipeline ruling highlights Canada’s need for UNDRIP law,https://globalnews.ca/news/6510038/indigenous-leaders-pipeline-ruling-canada-undrip/,"February 6, 2020 11:01 am",POLITICS
Death toll from pair of avalanches in eastern Turkey climbs to 41,https://globalnews.ca/news/6515161/turkey-avalanches-death-toll/,"February 6, 2020 10:51 am",WORLD
China wants to patent a U.S. drug to fight coronavirus,https://globalnews.ca/news/6515020/china-scientists-drug-coronavirus/,"February 6, 2020 10:10 am",WORLD
"Foreign ISIS captives to be prosecuted in Syria, Kurdish forces announce",https://globalnews.ca/news/6514685/foreign-isis-captives-prosecuted-in-syria/,"February 6, 2020 9:11 am",CANADA
Christina Koch returns to Earth after record-breaking spaceflight,https://globalnews.ca/news/6514785/christina-koch-longest-spaceflight-nasa/,"February 6, 2020 9:02 am",TECH
Trump lashes out at ‘sleaze bags’ behind impeachment in acquittal victory lap,https://globalnews.ca/news/6514612/trump-impeachment-acquittal-speech/,"February 6, 2020 8:10 am",WORLD
Premiers headed for Washington to celebrate CUSMA with American counterparts,https://globalnews.ca/news/6514556/premiers-washington-cusma-trade/,"February 6, 2020 7:46 am",CANADA
Coronavirus: China’s death toll soars above 560 as hospital tests new drug,https://globalnews.ca/news/6514540/coronavirus-hospital-death-toll/,"February 6, 2020 7:33 am",WORLD
‘The chill is real’: Canada’s new ambassador to China says of current relationship,https://globalnews.ca/news/6513563/canada-ambassador-china-diplomacy/,"February 5, 2020 9:14 pm",CANADA
2 Canadians test positive for coronavirus on cruise ship quarantined in Japan,https://globalnews.ca/news/6513530/china-coronavirus-new-death-toll-cruise/,"February 5, 2020 6:39 pm",HEALTH
"‘Vindictive and nasty’: Trump barrels into 2020 campaign, emboldened by acquittal",https://globalnews.ca/news/6513083/trump-post-impeachment-acquittal/,"February 5, 2020 6:53 pm",POLITICS
‘Spartacus’ actor Kirk Douglas dead at age 103,https://globalnews.ca/news/6512327/kirk-douglas-dead-age-103/,"February 5, 2020 6:50 pm",ENTERTAINMENT
Here are some key takeaways from Trump’s impeachment acquittal,https://globalnews.ca/news/6512792/trump-acquittal-key-takeaways/,"February 5, 2020 6:38 pm",POLITICS
Omar Khadr told to answer Utah plaintiffs’ questions about his war crimes confession,https://globalnews.ca/news/6512801/omar-khadr-war-crimes-confession-utah-ontario-court/,"February 5, 2020 6:03 pm",CANADA
"AI company must stop scraping user images from social media sites, top tech firms say",https://globalnews.ca/news/6512311/clearview-ai-tech-firms-social-media/,"February 5, 2020 5:53 pm",TECH
"At least 138 killed after being deported from U.S. to El Salvador, report says",https://globalnews.ca/news/6512332/el-salvadoran-migrants-dead-report/,"February 5, 2020 5:07 pm",WORLD
Will travel insurance cover coronavirus? Experts break down why and why not,https://globalnews.ca/news/6506117/travel-insurance-coronavirus/,"February 5, 2020 4:44 pm",WORLD
Draft UN resolution would reject U.S. plan for peace in Middle East,https://globalnews.ca/news/6512002/un-resolution-middle-east-peace-plan/,"February 5, 2020 4:44 pm",WORLD
What happens now? And other unanswered questions from Trump’s impeachment trial,https://globalnews.ca/news/6509530/trump-impeachment-acquittal-what-happens-next/,"February 5, 2020 4:38 pm",POLITICS
